INDONESIA,ENGLISH
takut,Afraid
khawatir,worry
nyaman,comfortable
bingung,Confused
capek,tired
lelah,tired
bahagia,happy
kecewa,disappointed
terkejut,surprised
heran,amazed
tertawa,laugh
menangis,cry
senyum,smile
cium,kiss
peluk,hug
salam,regards
selamat,Happy
terima kasih,Thank You
maaf,Sorry
tolong,Help
silakan,please
jangan,Don't
boleh,can
tidak boleh,should not
ya,yes
tidak,No
bagaimana,How
apa,What
siapa,Who
dimana,Where
kapan,When
mengapa,Why
berapa,How many
satu,One
dua,two
tiga,three
empat,four
lima,five
enam,six
tujuh,seven
delapan,eight
sembilan,nine
sepuluh,ten
seratus,one hundred
ribu,thousand
juta,million
orang,person
pria,man
wanita,woman
anak,child
dewasa,mature
tua,old
muda,young
keluarga,family
teman,Friend
saudara,you
tetangga,neighbor
pasangan,partner
suami,husband
istri,wife
ayah,Father
ibu,Mother
kakak,Older brother
adik,younger brother
paman,uncle
bibi,aunt
sepupu,cousin
nenek,grandma
kakek,grandpa
sekolah,school
universitas,university
kelas,class
mata pelajaran,subjects
ujian,exam
tugas,task
proyek,project
pekerjaan,work
karir,career
gaji,wages
profesi,profession
dokter,doctor
guru,Teacher
insinyur,engineer
pengacara,lawyer
pelayan,waiter
petani,farmer
nelayan,fisherman
tukang,craftsman
pedagang,trader
pengusaha,businessman
pebisnis,businessman
mahasiswa,student
pelajar,student
sopir,driver
chef,chef
arsitek,architect
desainer,designer
penulis,writer
artis,artist
musisi,musician
aktor,actor
penyanyi,singer
pelukis,painter
fotografer,photographer
jurnalis,journalist
wartawan,journalist
polisi,police
tentara,soldier
hakim,judge
jaksa,prosecutor
notaris,Notary Public
psikolog,psychologist
ahli,expert
teknisi,technician
ahli komputer,computer expert
ahli matematika,mathematician
ahli fisika,physicist
ahli kimia,chemist
ahli biologi,biologist
ahli ekonomi,economist
ahli politik,political expert
ahli sejarah,historian
ahli bahasa,Linguist
ahli sastra,literary expert
ahli hukum,lawyer
ahli seni,art expert
ahli budaya,cultural expert
teknologi,technology
inovasi,innovation
riset,research
pengembangan,development
kebijakan,policy
strategi,strategy
manajemen,management
pemasaran,marketing
penjualan,sale
produksi,production
distribusi,distribution
logistik,logistics
keuangan,finance
akuntansi,accountancy
administrasi,administration
proyek,project
anggaran,budget
rencana,plan
jadwal,timetable
target,target
evaluasi,evaluation
laporan,report
dokumentasi,documentation
penelitian,study
eksperimen,experiment
analisis,analysis
hasil,results
data,data
informasi,information
fakta,fact
opini,opinion
saran,suggestion
kritik,critics
review,review
ulasan,review
rekomendasi,recommendation
konsultasi,consultation
pertemuan,meeting
diskusi,discussion
konferensi,conference
seminar,seminar
workshop,workshops
pelatihan,training
kursus,course
pendidikan,education
pembelajaran,learning
pendidikan,education
literasi,literacy
numerasi,numeracy
teknologi,technology
aplikasi,application
perangkat,device
software,software
hardware,hardware
sistem,system
jaringan,network
internet,Internet
web,web
situs,site
blog,blogs
media sosial,social media
komunikasi,communication
informasi,information
berita,news
artikel,article
publikasi,publication
media,media
video,videos
audio,audio
gambar,picture
foto,Photo
desain,design
grafis,graphic
seni rupa,art
seni tari,dance art
seni musik,music Art
seni teater,theater arts
seni suara,sound art
seni lukis,art painting
seni patung,sculpture
seni kriya,craft arts
seni arsitektur,architectural art
seni desain,design art
pameran,exhibition
pertunjukan,show
festival,festival
acara,program
perayaan,celebration
liburan,holiday
perjalanan,journey
wisata,tour
destinasi,destination
hotel,hotel
penginapan,lodging
restoran,restaurant
kafe,café
tempat makan,places to eat
tempat tidur,bed
kamar mandi,bathroom
fasilitas,facility
layanan,service
harga,price
biaya,cost
tagihan,bill
pembayaran,payment
transaksi,transaction
rekening,account
kartu kredit,credit card
debit,debit
tunai,cash
cek,check
nota,note
kwitansi,receipt
bukti,proof
jaminan,guarantee
asuransi,insurance
keamanan,security
perlindungan,protection
risiko,risk
bahaya,danger
keselamatan,safety
kesehatan,health
kebersihan,cleanliness
sanitasi,sanitation
lingkungan,environment
sampah,rubbish
limbah,waste
daur ulang,recycle
energi,energy
listrik,electricity
air,water
bahan bakar,fuel
solar,diesel
bensin,gas
gas,gas
bahan makanan,food material
kebutuhan,need
barang,goods
produk,product
kualitas,quality
kuantitas,quantity
ukuran,size
bentuk,form
warna,color
desain,design
model,model
